selected_rank,au_id,covered_area_ha,terminal_age,terminal_volume,flagged,stand_count,site_index_min,site_index_median,site_index_max,age_2020_min,age_2020_median,age_2020_max,age_lt_20_count,age_lt_20_share,age_lt_30_count,age_lt_30_share,age_lt_80_count,age_lt_80_share,age_gte_80_count,age_gte_80_share,old_support_stand_count,terminal_vdyp_min,terminal_vdyp_p25,terminal_vdyp_median,terminal_vdyp_p75,terminal_vdyp_max,low_terminal_stand_count,high_terminal_stand_count,population_pattern,curve_issue_class
31,cwh_dm_x_dr_mb,17.071882039141553,299.0,1.336735,True,18,19.0,27.0,28.0,14.0,46.0,84.0,4,0.2222222222222222,4,0.2222222222222222,17,0.9444444444444444,1,0.05555555555555555,1,1.6543,125.1723975,197.8766,197.8766,414.8551,4,1,mixed_low_high,mixed_population
5,cwh_vm_1_cw_hw,314.4749493334842,299.0,160.802247,True,502,13.0,24.0,31.0,2.0,74.0,304.0,82,0.16334661354581673,83,0.16533864541832669,413,0.8227091633466136,89,0.17729083665338646,15,7.7479,264.7192075,379.37689,472.83472,556.35748,1,371,mixed_low_high,mixed_population
12,cwh_vm_1_cw_fdc,93.12984876206522,,,True,30,22.0,26.0,35.0,5.0,8.0,74.0,29,0.9666666666666667,29,0.9666666666666667,30,1.0,0,0.0,0,11.7703,13.963175,14.2038,18.0732,381.9014,25,1,mixed_low_high,no_first_growth_after_age_floor
19,cwh_vm_2_cw_fdc,51.88789338265702,,,True,75,17.0,26.0,36.0,1.0,14.0,114.0,39,0.52,40,0.5333333333333333,49,0.6533333333333333,26,0.3466666666666667,1,7.8839,10.9692,13.6566,520.2117900000001,653.43335,38,37,mixed_low_high,insufficient_source_stands
20,cwh_dm_x_dr_act,45.58438882608119,,,True,66,17.0,21.0,33.0,25.0,59.0,74.0,0,0.0,3,0.045454545454545456,66,1.0,0,0.0,0,67.9744,101.86659,225.235,263.4906,311.03378,0,1,mostly_high,no_first_growth_after_age_floor
21,cwh_dm_x_fdc_dr,43.72931302605964,,,True,40,22.0,38.0,44.0,19.0,39.0,59.0,1,0.025,6,0.15,40,1.0,0,0.0,0,7.3591,223.22718,314.8967,323.79962,736.38977,1,28,mixed_low_high,no_first_growth_after_age_floor
24,cwh_dm_x_fdc_x,28.237432258499503,,,True,24,25.0,37.5,42.0,5.0,30.0,64.0,12,0.5,12,0.5,24,1.0,0,0.0,0,16.0082,16.0082,148.12924500000003,398.86700499999995,1039.33118,9,10,mixed_low_high,no_first_growth_after_age_floor
25,cwh_vm_1_hw_ba,27.70858274976368,,,True,5,13.0,13.0,21.0,69.0,264.0,264.0,0,0.0,0,0.0,1,0.2,4,0.8,1,310.77441,310.77441,310.77441,310.77441,375.33569,0,5,mostly_high,insufficient_source_stands
27,cwh_vm_1_fdc_x,20.909315216591267,,,True,10,19.0,32.0,37.0,5.0,9.0,79.0,8,0.8,8,0.8,10,1.0,0,0.0,0,19.0564,19.0564,21.63925,30.04095,217.47819,4,0,mostly_low,no_first_growth_after_age_floor
11,cwh_vm_2_fdc_cw,94.2502596140714,299.0,202.860392,False,51,19.0,34.0,37.0,5.0,123.0,134.0,22,0.43137254901960786,22,0.43137254901960786,22,0.43137254901960786,29,0.5686274509803921,6,0.0,11.2159,330.03378999999995,345.03123999999997,636.89203,20,29,mixed_low_high,mixed_population
14,cwh_vm_2_cw_hw,89.08956732711877,299.0,204.886319,False,135,14.0,27.0,34.0,2.0,74.0,149.0,6,0.044444444444444446,9,0.06666666666666667,104,0.7703703703703704,31,0.22962962962962963,6,5.645,306.93829,414.33783,486.3717,572.3783,3,125,mixed_low_high,mixed_population
15,cwh_vm_2_fdc_hw,87.3632691880809,299.0,234.569969,False,66,17.0,35.0,40.0,1.0,57.0,254.0,18,0.2727272727272727,18,0.2727272727272727,54,0.8181818181818182,12,0.18181818181818182,6,43.8847,377.2226,609.9371,832.98914,832.98914,0,58,mostly_high,young_skewed_population
3,cwh_dm_x_hw_cw,392.86579151444016,299.0,241.413842,False,349,10.0,29.0,38.0,1.0,74.0,174.0,37,0.10601719197707736,47,0.1346704871060172,226,0.6475644699140402,123,0.3524355300859599,59,10.6125,387.37991,545.4534,581.8639975000001,791.1579,5,318,mixed_low_high,mixed_population
22,cwh_dm_x_dr_cw,40.07772315215442,299.0,241.413842,False,46,17.0,23.0,31.0,6.0,49.0,104.0,16,0.34782608695652173,18,0.391304347826087,45,0.9782608695652174,1,0.021739130434782608,1,1.166,113.2433,113.2433,210.1216,228.0927,2,0,mostly_low,young_skewed_population
23,cwh_dm_x_cw_dr,30.236196581846094,299.0,241.413842,False,18,18.0,21.0,31.0,14.0,110.5,174.0,8,0.4444444444444444,8,0.4444444444444444,9,0.5,9,0.5,1,2.8913,3.6056,236.533915,332.73853,332.73853,8,9,mixed_low_high,mixed_population
28,cwh_dm_x_hw_ba,20.41834703363092,299.0,241.413842,False,1,18.0,18.0,18.0,174.0,174.0,174.0,0,0.0,0,0.0,0,0.0,1,1.0,1,431.7865,431.7865,431.7865,431.7865,431.7865,0,1,mostly_high,persistently_low_old_unit
13,cwh_dm_x_cw_fdc,93.12538679996926,299.0,246.415212,False,235,19.0,28.0,35.0,1.0,114.0,174.0,47,0.2,47,0.2,56,0.23829787234042554,179,0.7617021276595745,6,7.098,520.2117900000001,520.2117900000001,520.2117900000001,595.82782,33,201,mixed_low_high,mixed_population
9,cwh_dm_x_cw_hw,181.7198772366682,299.0,256.533542,False,125,20.0,25.0,33.0,15.0,89.0,174.0,1,0.008,6,0.048,43,0.344,82,0.656,19,9.8429,347.58591,412.09821,466.53729,680.13898,5,98,mixed_low_high,mixed_population
1,cwh_vm_1_hw_cw,746.215514869601,299.0,257.775757,False,587,11.0,25.0,31.0,2.0,74.0,264.0,134,0.2282793867120954,135,0.22998296422487224,492,0.838160136286201,95,0.16183986371379896,23,14.4737,371.1539,445.13531,514.76099,716.71588,11,506,mixed_low_high,mixed_population
18,cwh_vm_1_fdc_cw,57.28804656538165,299.0,257.775757,False,23,22.0,28.0,36.0,5.0,21.0,154.0,11,0.4782608695652174,13,0.5652173913043478,14,0.6086956521739131,9,0.391304347826087,1,0.0,13.6137,224.4984,470.2103,483.93109,10,10,mixed_low_high,mixed_population
26,cwh_vm_1_dr_hw,25.722510047682,299.0,257.775757,False,53,22.0,22.0,30.0,74.0,79.0,84.0,0,0.0,0,0.0,47,0.8867924528301887,6,0.11320754716981132,1,219.0639,219.0639,219.0639,238.868,290.68509,0,0,midrange,young_skewed_population
2,cwh_vm_2_hw_cw,650.9276842211714,299.0,273.810269,False,589,10.0,24.0,33.0,3.0,54.0,304.0,8,0.013582342954159592,10,0.01697792869269949,443,0.7521222410865874,146,0.24787775891341257,47,10.3446,279.0838,354.22299,479.47171,743.97046,1,377,mixed_low_high,mixed_population
8,cwh_dm_x_fdc_cw,213.60847664411727,299.0,281.08414,False,173,18.0,34.0,44.0,4.0,129.0,174.0,40,0.23121387283236994,55,0.3179190751445087,65,0.37572254335260113,108,0.6242774566473989,25,0.0,131.819,501.6344,778.9307299999999,993.37543,33,119,mixed_low_high,mixed_population
29,cwh_vm_1_fdc_hw,19.856872940426094,299.0,325.464672,False,8,25.0,30.0,35.0,57.0,68.0,157.0,0,0.0,0,0.0,5,0.625,3,0.375,3,408.08844,453.66823,532.4122,599.8139,599.8139,0,8,mostly_high,young_skewed_population
7,cwh_vm_2_hw_fdc,265.21856082094155,299.0,331.980833,False,302,12.0,25.0,33.0,1.0,51.0,154.0,40,0.13245033112582782,42,0.1390728476821192,267,0.8841059602649006,35,0.11589403973509933,9,10.4903,323.45758,415.742115,649.2016,754.7434099999999,1,250,mixed_low_high,mixed_population
4,cwh_dm_x_fdc_hw,353.64691433719105,299.0,356.079466,False,262,19.0,38.0,44.0,15.0,45.0,534.0,4,0.015267175572519083,75,0.2862595419847328,202,0.7709923664122137,60,0.22900763358778625,27,6.6204,183.69752,519.62726,663.8902,1049.97485,13,177,mixed_low_high,mixed_population
6,cwh_dm_x_hw_fdc,289.57128339545824,299.0,358.131631,False,336,16.0,28.0,36.0,1.0,64.0,174.0,24,0.07142857142857142,24,0.07142857142857142,212,0.6309523809523809,124,0.36904761904761907,24,8.9327,454.27872,565.1684,658.57617,820.7083700000001,1,296,mixed_low_high,mixed_population
10,cwh_vm_1_hw_fdc,112.71775703381552,299.0,368.678788,False,94,12.0,24.0,32.0,2.0,79.0,154.0,11,0.11702127659574468,11,0.11702127659574468,69,0.7340425531914894,25,0.26595744680851063,6,57.6076,323.25742,459.37711,492.13092,749.62958,0,89,mostly_high,young_skewed_population
16,cwh_vm_2_hw_ba,85.04134806301961,299.0,379.464951,False,40,11.0,17.0,25.0,39.0,264.0,304.0,0,0.0,0,0.0,17,0.425,23,0.575,12,105.2199,142.95394249999998,310.77441,380.06192,585.9986,0,23,mostly_high,persistently_low_old_unit
17,cwh_vm_2_ba_hw,60.11643624075058,299.0,496.104809,False,18,15.0,15.0,17.0,19.0,304.0,304.0,1,0.05555555555555555,1,0.05555555555555555,1,0.05555555555555555,17,0.9444444444444444,2,9.1367,597.31519,597.31519,597.31519,597.31519,1,17,mixed_low_high,mixed_population
30,cwh_vm_2_ba_cw,19.564678538130323,299.0,535.877843,False,2,16.0,16.5,17.0,304.0,304.0,304.0,0,0.0,0,0.0,0,0.0,2,1.0,2,614.1217,630.0384025000001,645.955105,661.8718074999999,677.78851,0,2,mostly_high,persistently_low_old_unit
