TARGET,PERIODS,ACTIVE,MINACTIVE,MAXACTIVE,DISCOUNT,LINEAR,PREMULTIPLY
feature.area.managed.seral.le10,31,false,false,false,1.0,false,false
feature.area.managed.state.EM,31,false,false,false,1.0,false,false
feature.area.managed.state.EN,31,false,false,false,1.0,false,false
feature.area.managed.state.FM,31,false,false,false,1.0,false,false
feature.area.managed.state.THN,31,false,false,false,1.0,false,false
feature.area.managed.total,31,false,false,false,1.0,false,false
feature.area.retention.total,31,false,false,false,1.0,false,false
feature.area.unmanaged.seral.le10,31,false,false,false,1.0,false,false
feature.area.unmanaged.state.EM,31,false,false,false,1.0,false,false
feature.area.unmanaged.state.EN,31,false,false,false,1.0,false,false
feature.area.unmanaged.state.THN,31,false,false,false,1.0,false,false
feature.area.unmanaged.total,31,false,false,false,1.0,false,false
feature.flow.yield.merch,31,false,false,false,1.0,false,false
feature.flow.yield.total,31,true,true,false,1.0,false,false
feature.yield.managed.indsp.Ba,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Cw,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Dec,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Dr,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Fd,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Hw,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Oth,31,false,false,false,1.0,false,false
feature.yield.managed.indsp.Yc,31,false,false,false,1.0,false,false
feature.yield.managed.merch.total,31,false,false,false,1.0,false,false
feature.yield.managed.state.EM,31,false,false,false,1.0,false,false
feature.yield.managed.state.EN,31,false,false,false,1.0,false,false
feature.yield.managed.state.FM,31,false,false,false,1.0,false,false
feature.yield.managed.state.THN,31,false,false,false,1.0,false,false
feature.yield.managed.total,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Ba,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Cw,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Dec,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Dr,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Fd,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Hw,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Oth,31,false,false,false,1.0,false,false
feature.yield.unmanaged.indsp.Yc,31,false,false,false,1.0,false,false
feature.yield.unmanaged.state.EM,31,false,false,false,1.0,false,false
feature.yield.unmanaged.state.EN,31,false,false,false,1.0,false,false
feature.yield.unmanaged.state.THN,31,false,false,false,1.0,false,false
feature.yield.unmanaged.total,31,false,false,false,1.0,false,false
patch.grpblk.0_1.area,31,false,false,false,1.0,false,false
patch.grpblk.0_1.attractor,31,false,false,false,1.0,false,false
patch.grpblk.0_1.freqpercent,31,false,false,false,1.0,false,false
patch.grpblk.0_1.frequency,31,false,false,false,1.0,false,false
patch.grpblk.0_1.shape,31,false,false,false,1.0,false,false
patch.grpblk.0_1.size,31,true,false,true,1.0,false,false
patch.grpblk.1_5.area,31,false,false,false,1.0,false,false
patch.grpblk.1_5.attractor,31,false,false,false,1.0,false,false
patch.grpblk.1_5.freqpercent,31,false,false,false,1.0,false,false
patch.grpblk.1_5.frequency,31,false,false,false,1.0,false,false
patch.grpblk.1_5.shape,31,false,false,false,1.0,false,false
patch.grpblk.1_5.size,31,true,false,true,1.0,false,false
patch.grpblk.5_40.area,31,false,false,false,1.0,false,false
patch.grpblk.5_40.attractor,31,false,false,false,1.0,false,false
patch.grpblk.5_40.freqpercent,31,false,false,false,1.0,false,false
patch.grpblk.5_40.frequency,31,false,false,false,1.0,false,false
patch.grpblk.5_40.shape,31,true,false,true,1.0,false,false
patch.grpblk.5_40.size,31,false,true,true,1.0,false,false
patch.grpblk.40_50.area,31,false,false,false,1.0,false,false
patch.grpblk.40_50.attractor,31,false,false,false,1.0,false,false
patch.grpblk.40_50.freqpercent,31,false,false,false,1.0,false,false
patch.grpblk.40_50.frequency,31,false,false,false,1.0,false,false
patch.grpblk.40_50.shape,31,true,false,true,1.0,false,false
patch.grpblk.40_50.size,31,true,false,true,1.0,false,false
patch.grpblk.50plus.area,31,false,false,false,1.0,false,false
patch.grpblk.50plus.attractor,31,false,false,false,1.0,false,false
patch.grpblk.50plus.freqpercent,31,false,false,false,1.0,false,false
patch.grpblk.50plus.frequency,31,false,false,false,1.0,false,false
patch.grpblk.50plus.shape,31,false,false,false,1.0,false,false
patch.grpblk.50plus.size,31,true,false,true,1.0,false,false
patch.sepblk.0_40.area,31,false,false,false,1.0,false,false
patch.sepblk.0_40.attractor,31,false,false,false,1.0,false,false
patch.sepblk.0_40.freqpercent,31,false,false,false,1.0,false,false
patch.sepblk.0_40.frequency,31,false,false,false,1.0,false,false
patch.sepblk.0_40.shape,31,true,false,true,1.0,false,false
patch.sepblk.0_40.size,31,false,true,true,1.0,false,false
patch.sepblk.40_50.area,31,false,false,false,1.0,false,false
patch.sepblk.40_50.attractor,31,false,false,false,1.0,false,false
patch.sepblk.40_50.freqpercent,31,false,false,false,1.0,false,false
patch.sepblk.40_50.frequency,31,false,false,false,1.0,false,false
patch.sepblk.40_50.shape,31,true,false,true,1.0,false,false
patch.sepblk.40_50.size,31,true,false,true,1.0,false,false
patch.sepblk.50plus.area,31,false,false,false,1.0,false,false
patch.sepblk.50plus.attractor,31,false,false,false,1.0,false,false
patch.sepblk.50plus.freqpercent,31,false,false,false,1.0,false,false
patch.sepblk.50plus.frequency,31,false,false,false,1.0,false,false
patch.sepblk.50plus.shape,31,false,false,false,1.0,false,false
patch.sepblk.50plus.size,31,true,false,true,1.0,false,false
product.area.managed.state.EM,31,false,false,false,1.0,false,false
product.area.managed.state.EN,31,false,false,false,1.0,false,false
product.area.managed.state.FM,31,false,false,false,1.0,false,false
product.area.managed.state.THN,31,false,false,false,1.0,false,false
product.area.managed.treat.CC,31,false,false,false,1.0,false,false
product.area.managed.treat.CT,31,false,false,false,1.0,false,false
product.area.managed.total,31,false,false,false,1.0,false,false
product.flow.yield.even,31,true,true,true,1.0,false,false
product.flow.yield.ndy,31,false,false,false,1.0,false,false
product.ratio.ct.area,31,false,false,false,1.0,false,false
product.ratio.ct.yield,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Ba,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Cw,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Dec,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Dr,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Fd,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Hw,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Oth,31,false,false,false,1.0,false,false
product.yield.managed.indsp.Yc,31,false,false,false,1.0,false,false
product.yield.managed.state.EM,31,false,false,false,1.0,false,false
product.yield.managed.state.EN,31,false,false,false,1.0,false,false
product.yield.managed.state.FM,31,false,false,false,1.0,false,false
product.yield.managed.state.THN,31,false,false,false,1.0,false,false
product.yield.managed.treat.CC,31,false,false,false,1.0,false,false
product.yield.managed.treat.CT,31,false,false,false,1.0,false,false
product.yield.managed.total,31,true,true,false,1.0,false,false
